post_id,title,category,score,num_comments,author,collected_at,engagement,is_popular
47655408,Show HN: I built a tiny LLM to demystify how language models work,technology,448,41,armanified,2026-04-06 15:04:35,0.09,True
47658146,France pulls last gold held in US for $15B gain,technology,67,46,teleforce,2026-04-06 15:04:39,0.68,False
47655367,"Show HN: Gemma Gem – AI model embedded in a browser – no API keys, no cloud",technology,76,14,ikessler,2026-04-06 15:04:43,0.18,False
47652007,"Show HN: Real-time AI (audio/video in, voice out) on an M3 Pro with Gemma E2B",technology,84,5,karimf,2026-04-06 15:04:46,0.06,False
47651540,Running Gemma 4 locally with LM Studio's new headless CLI and Claude Code,technology,276,66,vbtechguy,2026-04-06 15:04:47,0.24,True
47622591,Jobs Being Created by AI,technology,10,6,Jimmc414,2026-04-06 15:04:49,0.55,False
47656981,"Drop, formerly Massdrop, ends most collaborations and rebrands under Corsair",technology,17,2,stevebmark,2026-04-06 15:04:50,0.11,False
47656335,Does coding with LLMs mean more microservices?,technology,24,6,jer0me,2026-04-06 15:04:51,0.24,False
47655466,Employers use your personal data to figure out the lowest salary you'll accept,technology,213,115,thisislife2,2026-04-06 15:04:54,0.54,True
47650312,A tail-call interpreter in (nightly) Rust,technology,159,38,g0xA52A2A,2026-04-06 15:04:56,0.24,True
47656659,Media scraper Gallery-dl is moving to Codeberg after receiving a DMCA notice,technology,139,47,MoltenMonster,2026-04-06 15:04:57,0.34,False
47648828,"Eight years of wanting, three months of building with AI",technology,774,233,brilee,2026-04-06 15:04:58,0.3,True
47658388,NIMBY Rails,technology,9,0,altilunium,2026-04-06 15:05:02,0.0,False
47649742,Nanocode: The best Claude Code that $200 can buy in pure JAX on TPUs,technology,186,25,desideratum,2026-04-06 15:05:03,0.13,True
47655058,OpenAI's fall from grace as investors race to Anthropic,technology,161,105,1vuio0pswjnm7,2026-04-06 15:05:14,0.65,True
47640728,Show HN: A game where you build a GPU,technology,913,178,Jaso1024,2026-04-06 15:05:17,0.19,True
47655078,Show HN: Mdarena – Benchmark your Claude.md against your own PRs,technology,18,3,hudsongr,2026-04-06 15:05:18,0.16,False
47651479,From birds to brains: My path to the fusiform face area (2024),technology,36,0,everbody,2026-04-06 15:05:21,0.0,False
47657652,China fell for a lobster: What an AI assistant tells us about Beijing's ambition,technology,12,0,tmoravec,2026-04-06 15:05:24,0.0,False
47652549,Iran's IRGC Publishes Satellite Imagery of OpenAI's $30B Stargate Datacenter,technology,44,15,alvivanco,2026-04-06 15:05:25,0.33,False
47640380,Apple approves driver that lets Nvidia eGPUs work with Arm Macs,technology,504,231,naves,2026-04-06 15:05:28,0.46,True
